ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000926,HY190527,03/19/2015 12:00:00 PM,016XX E 77TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0414,004,8,43,05,1188664,1854256,2015,02/10/2018 03:50:01 PM,41.75514556,-87.584161166,"(41.75514556, -87.584161166)"
10000928,HY190502,03/19/2015 12:27:00 PM,006XX N SAWYER AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1121,011,27,23,08A,1154596,1904034,2015,02/10/2018 03:50:01 PM,41.892489076,-87.707683232,"(41.892489076, -87.707683232)"
10000929,HY190572,03/19/2015 09:30:00 AM,036XX N NORA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,1632,016,36,17,08B,1128770,1923306,2015,02/10/2018 03:50:01 PM,41.945851518,-87.802094734,"(41.945851518, -87.802094734)"
10000931,HY190529,02/16/2015 06:45:00 AM,034XX W POLK ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1133,011,24,27,06,1153513,1896156,2015,02/10/2018 03:50:01 PM,41.870892631,-87.711870184,"(41.870892631, -87.711870184)"
10000933,HY190485,03/18/2015 07:00:00 AM,003XX S KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1134,011,28,27,14,1155108,1897941,2015,02/10/2018 03:50:01 PM,41.87575902,-87.705966447,"(41.87575902, -87.705966447)"
10000934,HY190525,03/19/2015 11:35:00 AM,072XX S PEORIA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,false,0733,007,17,68,14,1171558,1856875,2015,02/10/2018 03:50:01 PM,41.762724091,-87.64677309,"(41.762724091, -87.64677309)"
10000935,HY190448,03/19/2015 11:45:00 AM,006XX N RIDGEWAY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1122,011,27,23,08B,1151275,1903955,2015,02/10/2018 03:50:01 PM,41.892338095,-87.719882059,"(41.892338095, -87.719882059)"
10000936,HY190437,03/15/2015 05:30:00 PM,019XX W OGDEN AVE,0460,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,false,false,1231,012,2,28,08B,1163748,1897574,2015,02/10/2018 03:50:01 PM,41.874574262,-87.674253889,"(41.874574262, -87.674253889)"
10000940,HY190356,03/19/2015 10:16:00 AM,041XX W CHICAGO AVE,0460,BATTERY,SIMPLE,GOVERNMENT BUILDING/PROPERTY,false,false,1111,011,28,23,08B,1148800,1905023,2015,02/10/2018 03:50:01 PM,41.895316997,-87.728944145,"(41.895316997, -87.728944145)"
10000942,HY190480,02/19/2015 01:30:00 PM,052XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,2532,025,37,25,06,1141245,1910137,2015,02/10/2018 03:50:01 PM,41.909493094,-87.756565853,"(41.909493094, -87.756565853)"
10000943,HY190588,03/19/2015 01:35:00 PM,002XX N WABASH AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,false,false,0111,001,42,32,26,1176777,1901808,2015,02/10/2018 03:50:01 PM,41.885908101,-87.626289429,"(41.885908101, -87.626289429)"
10000946,HY190173,03/19/2015 03:00:00 AM,080XX S EXCHANGE AVE,0810,THEFT,OVER $500,STREET,false,false,0422,004,7,46,06,1197222,1852399,2015,02/10/2018 03:50:01 PM,41.749841038,-87.552860793,"(41.749841038, -87.552860793)"
10000947,HY190565,03/19/2015 12:53:00 PM,021XX W 21ST ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1234,012,25,31,08A,1162361,1890051,2015,02/10/2018 03:50:01 PM,41.853959553,-87.67955669,"(41.853959553, -87.67955669)"
10000951,HY190535,03/19/2015 12:05:00 PM,037XX W LELAND AVE,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,"SCHOOL, PUBLIC, BUILDING",true,false,1723,017,39,14,08B,1150613,1930973,2015,02/10/2018 03:50:01 PM,41.966490762,-87.721605386,"(41.966490762, -87.721605386)"
10000954,HY190498,01/01/2015 08:00:00 AM,055XX N MILWAUKEE AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,false,false,1622,016,45,11,17,1136403,1936607,2015,02/10/2018 03:50:01 PM,41.982217474,-87.773718669,"(41.982217474, -87.773718669)"
10000964,HY190593,03/09/2015 01:00:00 PM,009XX N RUSH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1833,018,42,8,06,1176470,1907019,2015,02/10/2018 03:50:01 PM,41.900214286,-87.627259314,"(41.900214286, -87.627259314)"
10000969,HY190597,03/19/2015 01:00:00 PM,018XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,CAR WASH,false,false,1434,014,32,22,06,1160925,1912193,2015,02/10/2018 03:50:01 PM,41.914749019,-87.684212632,"(41.914749019, -87.684212632)"
